struct_high_cut,struct_risk_cut,shock_high_cut,shock_risk_cut,base_bins,base_allocs,alloc_shock_high_cut,alloc_shock_risk_cut,tactical_multipliers,cagr_impact,max_drawdown_reduction,strategy_annualized_return,strategy_max_drawdown,avg_final_allocation,acceptance_pass
0.85,0.7,0.85,0.6,"[0.25, 0.45, 0.65, 0.85]","[1.0, 0.85, 0.65, 0.4, 0.2]",0.7,0.5,"[1.0, 0.85, 0.7, 0.55]",0.06510806670371339,0.37591534269247645,0.1361966798526819,-0.11704856076028147,0.8772903563941299,False
0.85,0.7,0.85,0.6,"[0.25, 0.45, 0.65, 0.85]","[1.0, 0.85, 0.65, 0.4, 0.2]",0.6,0.4,"[1.0, 0.85, 0.7, 0.55]",0.06510806670371339,0.37591534269247645,0.1361966798526819,-0.11704856076028147,0.8772903563941299,False
0.85,0.7,0.85,0.6,"[0.2, 0.4, 0.6, 0.8]","[1.0, 0.8, 0.6, 0.3, 0.1]",0.85,0.7,"[1.0, 0.9, 0.8, 0.7]",0.05809085093007216,0.3713657812504429,0.14321389562632314,-0.11790184182182517,0.8951153039832286,False
0.85,0.7,0.85,0.6,"[0.2, 0.4, 0.6, 0.8]","[1.0, 0.8, 0.6, 0.3, 0.1]",0.7,0.5,"[1.0, 0.9, 0.8, 0.7]",0.05809085093007216,0.3713657812504429,0.14321389562632314,-0.11790184182182517,0.8951153039832286,False
0.85,0.7,0.85,0.6,"[0.2, 0.4, 0.6, 0.8]","[1.0, 0.8, 0.6, 0.3, 0.1]",0.6,0.4,"[1.0, 0.9, 0.8, 0.7]",0.05809085093007216,0.3713657812504429,0.14321389562632314,-0.11790184182182517,0.8951153039832286,False
0.85,0.7,0.85,0.6,"[0.25, 0.45, 0.65, 0.85]","[1.0, 0.8, 0.6, 0.3, 0.1]",0.85,0.7,"[1.0, 0.9, 0.8, 0.7]",0.053452036944094505,0.36508673359740285,0.1478527096123008,-0.11907949213276914,0.9012578616352201,False
0.85,0.7,0.85,0.6,"[0.25, 0.45, 0.65, 0.85]","[1.0, 0.8, 0.6, 0.3, 0.1]",0.7,0.5,"[1.0, 0.9, 0.8, 0.7]",0.053452036944094505,0.36508673359740285,0.1478527096123008,-0.11907949213276914,0.9012578616352201,False
0.85,0.7,0.85,0.6,"[0.25, 0.45, 0.65, 0.85]","[1.0, 0.8, 0.6, 0.3, 0.1]",0.6,0.4,"[1.0, 0.9, 0.8, 0.7]",0.053452036944094505,0.36508673359740285,0.1478527096123008,-0.11907949213276914,0.9012578616352201,False
0.85,0.7,0.85,0.6,"[0.25, 0.45, 0.65, 0.85]","[1.0, 0.85, 0.65, 0.4, 0.2]",0.85,0.7,"[1.0, 0.9, 0.8, 0.7]",0.0510912788862683,0.3472408247190837,0.150213467670127,-0.12242653475784859,0.9063836477987421,False
0.85,0.7,0.85,0.6,"[0.25, 0.45, 0.65, 0.85]","[1.0, 0.85, 0.65, 0.4, 0.2]",0.7,0.5,"[1.0, 0.9, 0.8, 0.7]",0.0510912788862683,0.3472408247190837,0.150213467670127,-0.12242653475784859,0.9063836477987421,False
0.85,0.7,0.85,0.6,"[0.25, 0.45, 0.65, 0.85]","[1.0, 0.85, 0.65, 0.4, 0.2]",0.6,0.4,"[1.0, 0.9, 0.8, 0.7]",0.0510912788862683,0.3472408247190837,0.150213467670127,-0.12242653475784859,0.9063836477987421,False
0.85,0.7,0.85,0.6,"[0.2, 0.4, 0.6, 0.8]","[1.0, 0.9, 0.75, 0.55, 0.35]",0.85,0.7,"[1.0, 0.85, 0.7, 0.55]",0.06502397905723822,0.3457124632610364,0.13628076749915707,-0.12271318258181163,0.880251572327044,False
0.85,0.7,0.85,0.6,"[0.2, 0.4, 0.6, 0.8]","[1.0, 0.9, 0.75, 0.55, 0.35]",0.7,0.5,"[1.0, 0.85, 0.7, 0.55]",0.06502397905723822,0.3457124632610364,0.13628076749915707,-0.12271318258181163,0.880251572327044,False
0.85,0.7,0.85,0.6,"[0.2, 0.4, 0.6, 0.8]","[1.0, 0.9, 0.75, 0.55, 0.35]",0.6,0.4,"[1.0, 0.85, 0.7, 0.55]",0.06502397905723822,0.3457124632610364,0.13628076749915707,-0.12271318258181163,0.880251572327044,False
0.85,0.7,0.85,0.6,"[0.2, 0.4, 0.6, 0.8]","[1.0, 0.85, 0.65, 0.4, 0.2]",0.85,0.7,"[1.0, 0.9, 0.8, 0.7]",0.05537908683749504,0.344235519936956,0.14592565971890026,-0.12299018681254203,0.9007127882599582,False
0.85,0.7,0.85,0.6,"[0.2, 0.4, 0.6, 0.8]","[1.0, 0.85, 0.65, 0.4, 0.2]",0.7,0.5,"[1.0, 0.9, 0.8, 0.7]",0.05537908683749504,0.344235519936956,0.14592565971890026,-0.12299018681254203,0.9007127882599582,False
0.85,0.7,0.85,0.6,"[0.2, 0.4, 0.6, 0.8]","[1.0, 0.85, 0.65, 0.4, 0.2]",0.6,0.4,"[1.0, 0.9, 0.8, 0.7]",0.05537908683749504,0.344235519936956,0.14592565971890026,-0.12299018681254203,0.9007127882599582,False
0.85,0.7,0.85,0.6,"[0.2, 0.4, 0.6, 0.8]","[1.0, 0.8, 0.6, 0.3, 0.1]",0.85,0.7,"[1.0, 0.95, 0.85, 0.75]",0.05060791446725954,0.34282125418387416,0.15069683208913576,-0.12325543571586384,0.9117610062893081,False
0.85,0.7,0.85,0.6,"[0.2, 0.4, 0.6, 0.8]","[1.0, 0.8, 0.6, 0.3, 0.1]",0.7,0.5,"[1.0, 0.95, 0.85, 0.75]",0.05060791446725954,0.34282125418387416,0.15069683208913576,-0.12325543571586384,0.9117610062893081,False
0.85,0.7,0.85,0.6,"[0.2, 0.4, 0.6, 0.8]","[1.0, 0.8, 0.6, 0.3, 0.1]",0.6,0.4,"[1.0, 0.95, 0.85, 0.75]",0.05060791446725954,0.34282125418387416,0.15069683208913576,-0.12325543571586384,0.9117610062893081,False
0.85,0.7,0.85,0.6,"[0.25, 0.45, 0.65, 0.85]","[1.0, 0.9, 0.75, 0.55, 0.35]",0.85,0.7,"[1.0, 0.85, 0.7, 0.55]",0.06163733527303683,0.3422052857510024,0.13966741128335847,-0.12337096205944109,0.8844339622641509,False
0.85,0.7,0.85,0.6,"[0.25, 0.45, 0.65, 0.85]","[1.0, 0.9, 0.75, 0.55, 0.35]",0.7,0.5,"[1.0, 0.85, 0.7, 0.55]",0.06163733527303683,0.3422052857510024,0.13966741128335847,-0.12337096205944109,0.8844339622641509,False
0.85,0.7,0.85,0.6,"[0.25, 0.45, 0.65, 0.85]","[1.0, 0.9, 0.75, 0.55, 0.35]",0.6,0.4,"[1.0, 0.85, 0.7, 0.55]",0.06163733527303683,0.3422052857510024,0.13966741128335847,-0.12337096205944109,0.8844339622641509,False
0.85,0.7,0.85,0.6,"[0.25, 0.45, 0.65, 0.85]","[1.0, 0.8, 0.6, 0.3, 0.1]",0.85,0.7,"[1.0, 0.95, 0.85, 0.75]",0.04567559625110862,0.33626959316904964,0.15562915030528668,-0.1244842153107395,0.9182494758909853,False
0.85,0.7,0.85,0.6,"[0.25, 0.45, 0.65, 0.85]","[1.0, 0.8, 0.6, 0.3, 0.1]",0.7,0.5,"[1.0, 0.95, 0.85, 0.75]",0.04567559625110862,0.33626959316904964,0.15562915030528668,-0.1244842153107395,0.9182494758909853,False
0.85,0.7,0.85,0.6,"[0.25, 0.45, 0.65, 0.85]","[1.0, 0.8, 0.6, 0.3, 0.1]",0.6,0.4,"[1.0, 0.95, 0.85, 0.75]",0.04567559625110862,0.33626959316904964,0.15562915030528668,-0.1244842153107395,0.9182494758909853,False
0.85,0.7,0.85,0.6,"[0.25, 0.45, 0.65, 0.85]","[1.0, 0.85, 0.65, 0.4, 0.2]",0.85,0.7,"[1.0, 0.95, 0.85, 0.75]",0.043145667646311336,0.3175778264400224,0.15815907891008396,-0.12798990058609705,0.9236897274633123,False
0.85,0.7,0.85,0.6,"[0.25, 0.45, 0.65, 0.85]","[1.0, 0.85, 0.65, 0.4, 0.2]",0.7,0.5,"[1.0, 0.95, 0.85, 0.75]",0.043145667646311336,0.3175778264400224,0.15815907891008396,-0.12798990058609705,0.9236897274633123,False
0.85,0.7,0.85,0.6,"[0.25, 0.45, 0.65, 0.85]","[1.0, 0.85, 0.65, 0.4, 0.2]",0.6,0.4,"[1.0, 0.95, 0.85, 0.75]",0.043145667646311336,0.3175778264400224,0.15815907891008396,-0.12798990058609705,0.9236897274633123,False
0.85,0.7,0.85,0.6,"[0.2, 0.4, 0.6, 0.8]","[1.0, 0.85, 0.65, 0.4, 0.2]",0.85,0.7,"[1.0, 0.95, 0.85, 0.75]",0.047705741967624116,0.3129288458646443,0.15359900458877118,-0.1288618279423922,0.9176991614255764,False
0.85,0.7,0.85,0.6,"[0.2, 0.4, 0.6, 0.8]","[1.0, 0.85, 0.65, 0.4, 0.2]",0.7,0.5,"[1.0, 0.95, 0.85, 0.75]",0.047705741967624116,0.3129288458646443,0.15359900458877118,-0.1288618279423922,0.9176991614255764,False
0.85,0.7,0.85,0.6,"[0.2, 0.4, 0.6, 0.8]","[1.0, 0.85, 0.65, 0.4, 0.2]",0.6,0.4,"[1.0, 0.95, 0.85, 0.75]",0.047705741967624116,0.3129288458646443,0.15359900458877118,-0.1288618279423922,0.9176991614255764,False
0.85,0.7,0.85,0.6,"[0.25, 0.45, 0.65, 0.85]","[1.0, 0.9, 0.75, 0.55, 0.35]",0.85,0.7,"[1.0, 0.9, 0.8, 0.7]",0.046718389323000986,0.3057576034580081,0.1545863572333943,-0.13020681149988134,0.9144654088050316,False
0.85,0.7,0.85,0.6,"[0.25, 0.45, 0.65, 0.85]","[1.0, 0.9, 0.75, 0.55, 0.35]",0.7,0.5,"[1.0, 0.9, 0.8, 0.7]",0.046718389323000986,0.3057576034580081,0.1545863572333943,-0.13020681149988134,0.9144654088050316,False
0.85,0.7,0.85,0.6,"[0.25, 0.45, 0.65, 0.85]","[1.0, 0.9, 0.75, 0.55, 0.35]",0.6,0.4,"[1.0, 0.9, 0.8, 0.7]",0.046718389323000986,0.3057576034580081,0.1545863572333943,-0.13020681149988134,0.9144654088050316,False
0.85,0.7,0.85,0.6,"[0.2, 0.4, 0.6, 0.8]","[1.0, 0.9, 0.75, 0.55, 0.35]",0.85,0.7,"[1.0, 0.9, 0.8, 0.7]",0.05043434156703408,0.29568798234610294,0.15087040498936122,-0.1320953928722144,0.9100000000000001,False
0.85,0.7,0.85,0.6,"[0.2, 0.4, 0.6, 0.8]","[1.0, 0.9, 0.75, 0.55, 0.35]",0.7,0.5,"[1.0, 0.9, 0.8, 0.7]",0.05043434156703408,0.29568798234610294,0.15087040498936122,-0.1320953928722144,0.9100000000000001,False
0.85,0.7,0.85,0.6,"[0.2, 0.4, 0.6, 0.8]","[1.0, 0.9, 0.75, 0.55, 0.35]",0.6,0.4,"[1.0, 0.9, 0.8, 0.7]",0.05043434156703408,0.29568798234610294,0.15087040498936122,-0.1320953928722144,0.9100000000000001,False
0.85,0.7,0.85,0.6,"[0.3, 0.5, 0.7, 0.85]","[1.0, 0.8, 0.6, 0.3, 0.1]",0.85,0.7,"[1.0, 0.85, 0.7, 0.55]",0.07626993598282139,0.29519770676644963,0.1250348105735739,-0.13218734522243225,0.8760167714884695,False
0.85,0.7,0.85,0.6,"[0.3, 0.5, 0.7, 0.85]","[1.0, 0.8, 0.6, 0.3, 0.1]",0.7,0.5,"[1.0, 0.85, 0.7, 0.55]",0.07626993598282139,0.29519770676644963,0.1250348105735739,-0.13218734522243225,0.8760167714884695,False
0.85,0.7,0.85,0.6,"[0.3, 0.5, 0.7, 0.85]","[1.0, 0.8, 0.6, 0.3, 0.1]",0.6,0.4,"[1.0, 0.85, 0.7, 0.55]",0.07626993598282139,0.29519770676644963,0.1250348105735739,-0.13218734522243225,0.8760167714884695,False
0.85,0.7,0.85,0.6,"[0.3, 0.5, 0.7, 0.85]","[1.0, 0.85, 0.65, 0.4, 0.2]",0.85,0.7,"[1.0, 0.85, 0.7, 0.55]",0.07306684077189907,0.2880651356318015,0.12823790578449623,-0.13352507589094875,0.8803406708595388,False
0.85,0.7,0.85,0.6,"[0.3, 0.5, 0.7, 0.85]","[1.0, 0.85, 0.65, 0.4, 0.2]",0.7,0.5,"[1.0, 0.85, 0.7, 0.55]",0.07306684077189907,0.2880651356318015,0.12823790578449623,-0.13352507589094875,0.8803406708595388,False
0.85,0.7,0.85,0.6,"[0.3, 0.5, 0.7, 0.85]","[1.0, 0.85, 0.65, 0.4, 0.2]",0.6,0.4,"[1.0, 0.85, 0.7, 0.55]",0.07306684077189907,0.2880651356318015,0.12823790578449623,-0.13352507589094875,0.8803406708595388,False
0.85,0.7,0.85,0.6,"[0.3, 0.5, 0.7, 0.85]","[1.0, 0.9, 0.75, 0.55, 0.35]",0.85,0.7,"[1.0, 0.85, 0.7, 0.55]",0.06804284243003322,0.27351110332531386,0.13326190412636207,-0.13625471924107135,0.8867767295597483,False
0.85,0.7,0.85,0.6,"[0.3, 0.5, 0.7, 0.85]","[1.0, 0.9, 0.75, 0.55, 0.35]",0.7,0.5,"[1.0, 0.85, 0.7, 0.55]",0.06804284243003322,0.27351110332531386,0.13326190412636207,-0.13625471924107135,0.8867767295597483,False
0.85,0.7,0.85,0.6,"[0.3, 0.5, 0.7, 0.85]","[1.0, 0.9, 0.75, 0.55, 0.35]",0.6,0.4,"[1.0, 0.85, 0.7, 0.55]",0.06804284243003322,0.27351110332531386,0.13326190412636207,-0.13625471924107135,0.8867767295597483,False
0.85,0.7,0.85,0.6,"[0.25, 0.45, 0.65, 0.85]","[1.0, 0.9, 0.75, 0.55, 0.35]",0.85,0.7,"[1.0, 0.95, 0.85, 0.75]",0.038473593153983465,0.27204063346992535,0.16283115340241183,-0.13653050935736288,0.932269392033543,False
0.85,0.7,0.85,0.6,"[0.25, 0.45, 0.65, 0.85]","[1.0, 0.9, 0.75, 0.55, 0.35]",0.7,0.5,"[1.0, 0.95, 0.85, 0.75]",0.038473593153983465,0.27204063346992535,0.16283115340241183,-0.13653050935736288,0.932269392033543,False
0.85,0.7,0.85,0.6,"[0.25, 0.45, 0.65, 0.85]","[1.0, 0.9, 0.75, 0.55, 0.35]",0.6,0.4,"[1.0, 0.95, 0.85, 0.75]",0.038473593153983465,0.27204063346992535,0.16283115340241183,-0.13653050935736288,0.932269392033543,False
0.85,0.7,0.85,0.6,"[0.2, 0.4, 0.6, 0.8]","[1.0, 0.9, 0.75, 0.55, 0.35]",0.85,0.7,"[1.0, 0.95, 0.85, 0.75]",0.04242527451884093,0.2614595896843876,0.15887947203755437,-0.1385150092676506,0.9275524109014675,False
0.85,0.7,0.85,0.6,"[0.2, 0.4, 0.6, 0.8]","[1.0, 0.9, 0.75, 0.55, 0.35]",0.7,0.5,"[1.0, 0.95, 0.85, 0.75]",0.04242527451884093,0.2614595896843876,0.15887947203755437,-0.1385150092676506,0.9275524109014675,False
0.85,0.7,0.85,0.6,"[0.2, 0.4, 0.6, 0.8]","[1.0, 0.9, 0.75, 0.55, 0.35]",0.6,0.4,"[1.0, 0.95, 0.85, 0.75]",0.04242527451884093,0.2614595896843876,0.15887947203755437,-0.1385150092676506,0.9275524109014675,False
0.85,0.7,0.85,0.6,"[0.3, 0.5, 0.7, 0.85]","[1.0, 0.8, 0.6, 0.3, 0.1]",0.85,0.7,"[1.0, 0.9, 0.8, 0.7]",0.06464997625256497,0.25229628380937763,0.13665477030383033,-0.14023360906323512,0.9049056603773584,False
0.85,0.7,0.85,0.6,"[0.3, 0.5, 0.7, 0.85]","[1.0, 0.8, 0.6, 0.3, 0.1]",0.7,0.5,"[1.0, 0.9, 0.8, 0.7]",0.06464997625256497,0.25229628380937763,0.13665477030383033,-0.14023360906323512,0.9049056603773584,False
0.85,0.7,0.85,0.6,"[0.3, 0.5, 0.7, 0.85]","[1.0, 0.8, 0.6, 0.3, 0.1]",0.6,0.4,"[1.0, 0.9, 0.8, 0.7]",0.06464997625256497,0.25229628380937763,0.13665477030383033,-0.14023360906323512,0.9049056603773584,False
0.85,0.7,0.85,0.6,"[0.3, 0.5, 0.7, 0.85]","[1.0, 0.85, 0.65, 0.4, 0.2]",0.85,0.7,"[1.0, 0.9, 0.8, 0.7]",0.06060926540565781,0.24781340693825143,0.1406954811507375,-0.14107438327501376,0.9097798742138365,False
0.85,0.7,0.85,0.6,"[0.3, 0.5, 0.7, 0.85]","[1.0, 0.85, 0.65, 0.4, 0.2]",0.7,0.5,"[1.0, 0.9, 0.8, 0.7]",0.06060926540565781,0.24781340693825143,0.1406954811507375,-0.14107438327501376,0.9097798742138365,False
0.85,0.7,0.85,0.6,"[0.3, 0.5, 0.7, 0.85]","[1.0, 0.85, 0.65, 0.4, 0.2]",0.6,0.4,"[1.0, 0.9, 0.8, 0.7]",0.06060926540565781,0.24781340693825143,0.1406954811507375,-0.14107438327501376,0.9097798742138365,False
0.85,0.7,0.85,0.6,"[0.3, 0.5, 0.7, 0.85]","[1.0, 0.9, 0.75, 0.55, 0.35]",0.85,0.7,"[1.0, 0.9, 0.8, 0.7]",0.054394779095655155,0.23575382524478286,0.14690996746074014,-0.1433361864840229,0.9170754716981133,False
0.85,0.7,0.85,0.6,"[0.3, 0.5, 0.7, 0.85]","[1.0, 0.9, 0.75, 0.55, 0.35]",0.7,0.5,"[1.0, 0.9, 0.8, 0.7]",0.054394779095655155,0.23575382524478286,0.14690996746074014,-0.1433361864840229,0.9170754716981133,False
0.85,0.7,0.85,0.6,"[0.3, 0.5, 0.7, 0.85]","[1.0, 0.9, 0.75, 0.55, 0.35]",0.6,0.4,"[1.0, 0.9, 0.8, 0.7]",0.054394779095655155,0.23575382524478286,0.14690996746074014,-0.1433361864840229,0.9170754716981133,False
0.85,0.7,0.85,0.6,"[0.3, 0.5, 0.7, 0.85]","[1.0, 0.8, 0.6, 0.3, 0.1]",0.85,0.7,"[1.0, 0.95, 0.85, 0.75]",0.057709443064264176,0.21706923839911207,0.14359530349213112,-0.1468405251551923,0.9221174004192872,False
0.85,0.7,0.85,0.6,"[0.3, 0.5, 0.7, 0.85]","[1.0, 0.8, 0.6, 0.3, 0.1]",0.7,0.5,"[1.0, 0.95, 0.85, 0.75]",0.057709443064264176,0.21706923839911207,0.14359530349213112,-0.1468405251551923,0.9221174004192872,False
0.85,0.7,0.85,0.6,"[0.3, 0.5, 0.7, 0.85]","[1.0, 0.8, 0.6, 0.3, 0.1]",0.6,0.4,"[1.0, 0.95, 0.85, 0.75]",0.057709443064264176,0.21706923839911207,0.14359530349213112,-0.1468405251551923,0.9221174004192872,False
0.85,0.7,0.85,0.6,"[0.3, 0.5, 0.7, 0.85]","[1.0, 0.85, 0.65, 0.4, 0.2]",0.85,0.7,"[1.0, 0.95, 0.85, 0.75]",0.05337917619742005,0.21253697971920726,0.14792557035897524,-0.14769056104257472,0.9272903563941298,False
0.85,0.7,0.85,0.6,"[0.3, 0.5, 0.7, 0.85]","[1.0, 0.85, 0.65, 0.4, 0.2]",0.7,0.5,"[1.0, 0.95, 0.85, 0.75]",0.05337917619742005,0.21253697971920726,0.14792557035897524,-0.14769056104257472,0.9272903563941298,False
0.85,0.7,0.85,0.6,"[0.3, 0.5, 0.7, 0.85]","[1.0, 0.85, 0.65, 0.4, 0.2]",0.6,0.4,"[1.0, 0.95, 0.85, 0.75]",0.05337917619742005,0.21253697971920726,0.14792557035897524,-0.14769056104257472,0.9272903563941298,False
0.85,0.7,0.85,0.6,"[0.3, 0.5, 0.7, 0.85]","[1.0, 0.9, 0.75, 0.55, 0.35]",0.85,0.7,"[1.0, 0.95, 0.85, 0.75]",0.04673250819032404,0.19999222911235565,0.15457223836607126,-0.15004335883440556,0.9350366876310272,False
0.85,0.7,0.85,0.6,"[0.3, 0.5, 0.7, 0.85]","[1.0, 0.9, 0.75, 0.55, 0.35]",0.7,0.5,"[1.0, 0.95, 0.85, 0.75]",0.04673250819032404,0.19999222911235565,0.15457223836607126,-0.15004335883440556,0.9350366876310272,False
0.85,0.7,0.85,0.6,"[0.3, 0.5, 0.7, 0.85]","[1.0, 0.9, 0.75, 0.55, 0.35]",0.6,0.4,"[1.0, 0.95, 0.85, 0.75]",0.04673250819032404,0.19999222911235565,0.15457223836607126,-0.15004335883440556,0.9350366876310272,False
