date,smart_warning_tier,pre_warning_tier,smart_warning_tier_10d_path,pre_warning_tier_10d_path,warning_level,signal_stage,action,warning_source,warning_sources,switch_reason
2025-01-02,none,warning,none->none->warning->warning->none->none->none->warning->none->none,warning->warning->none->none->none->none->none->none->warning->warning,SHORT_TERM,PREWARNING,SHORT_TERM_WARNING_EARLY,lead10_structural_switch_plus_early_guard,high_hurst|lead10_structural_switch_plus_early_guard|shortterm_early_guard,high_hurst|shortterm_early_guard
2024-12-31,none,warning,none->none->none->warning->warning->none->none->none->warning->none,none->warning->warning->none->none->none->none->none->none->warning,SHORT_TERM,PREWARNING,SHORT_TERM_WARNING_EARLY,lead10_structural_switch_plus_early_guard,high_hurst|lead10_structural_switch_plus_early_guard|shortterm_early_guard,high_hurst|shortterm_early_guard
2024-12-30,warning,none,none->none->none->none->warning->warning->none->none->none->warning,none->none->warning->warning->none->none->none->none->none->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|sentiment_factor|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2024-12-27,none,none,none->none->none->none->none->warning->warning->none->none->none,none->none->none->warning->warning->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-12-26,none,none,none->none->none->none->none->none->warning->warning->none->none,none->none->none->none->warning->warning->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-12-24,none,none,none->none->none->none->none->none->none->warning->warning->none,none->none->none->none->none->warning->warning->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-12-23,warning,none,none->none->none->none->none->none->none->none->warning->warning,none->none->none->none->none->none->warning->warning->none->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2024-12-20,warning,none,none->none->none->none->none->none->none->none->none->warning,none->none->none->none->none->none->none->warning->warning->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2024-12-19,none,warning,none->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->warning->warning,SHORT_TERM,PREWARNING,SHORT_TERM_WARNING_EARLY,lead10_structural_switch_plus_early_guard,high_hurst|lead10_structural_switch_plus_early_guard|sentiment_factor|shortterm_early_guard,high_hurst|shortterm_early_guard
2024-12-18,none,warning,none->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->warning,SHORT_TERM,PREWARNING,SHORT_TERM_WARNING_EARLY,lead10_structural_switch_plus_early_guard,high_hurst|lead10_structural_switch_plus_early_guard|sentiment_factor|shortterm_early_guard,high_hurst|shortterm_early_guard
2024-12-17,none,none,none->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-12-16,none,none,none->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-12-13,none,none,none->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-12-12,none,none,none->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-12-11,none,none,none->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-12-10,none,none,none->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-12-09,none,none,none->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-12-06,none,none,none->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-12-05,none,none,none->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-12-04,none,none,warning->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-12-03,none,none,warning->warning->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-12-02,none,none,warning->warning->warning->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-11-29,none,none,none->warning->warning->warning->none->none->none->none->none->none,warning->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-11-27,none,none,none->none->warning->warning->warning->none->none->none->none->none,none->warning->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-11-26,none,none,none->none->none->warning->warning->warning->none->none->none->none,none->none->warning->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-11-25,none,none,none->none->none->none->warning->warning->warning->none->none->none,none->none->none->warning->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-11-22,none,none,none->none->none->none->none->warning->warning->warning->none->none,none->none->none->none->warning->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-11-21,none,none,none->none->none->none->none->none->warning->warning->warning->none,none->none->none->none->none->warning->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-11-20,warning,none,none->none->none->none->none->none->none->warning->warning->warning,none->none->none->none->none->none->warning->none->none->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2024-11-19,warning,none,none->none->none->none->none->none->none->none->warning->warning,none->none->none->none->none->none->none->warning->none->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2024-11-18,warning,none,warning->none->none->none->none->none->none->none->none->warning,none->none->none->none->none->none->none->none->warning->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2024-11-15,none,warning,warning->warning->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->warning,SHORT_TERM,PREWARNING,SHORT_TERM_WARNING,shortterm_dd_momentum,high_hurst|shortterm_dd_momentum,high_hurst|shortterm_dd_momentum
2024-11-14,none,none,warning->warning->warning->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-11-13,none,none,warning->warning->warning->warning->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-11-12,none,none,none->warning->warning->warning->warning->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-11-11,none,none,none->none->warning->warning->warning->warning->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-11-08,none,none,warning->none->none->warning->warning->warning->warning->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-11-07,none,none,warning->warning->none->none->warning->warning->warning->warning->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-11-06,none,none,warning->warning->warning->none->none->warning->warning->warning->warning->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-11-05,warning,none,warning->warning->warning->warning->none->none->warning->warning->warning->warning,none->none->none->none->none->none->none->none->none->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2024-11-04,warning,none,none->warning->warning->warning->warning->none->none->warning->warning->warning,none->none->none->none->none->none->none->none->none->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2024-11-01,warning,none,none->none->warning->warning->warning->warning->none->none->warning->warning,none->none->none->none->none->none->none->none->none->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2024-10-31,warning,none,none->none->none->warning->warning->warning->warning->none->none->warning,none->none->none->none->none->none->none->none->none->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|sentiment_factor|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2024-10-30,none,none,none->none->none->none->warning->warning->warning->warning->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-10-29,none,none,none->none->none->none->none->warning->warning->warning->warning->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-10-28,warning,none,none->none->none->none->none->none->warning->warning->warning->warning,none->none->none->none->none->none->none->none->none->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2024-10-25,warning,none,none->none->none->none->none->none->none->warning->warning->warning,none->none->none->none->none->none->none->none->none->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2024-10-24,warning,none,none->none->none->none->none->none->none->none->warning->warning,none->none->none->none->none->none->none->none->none->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2024-10-23,warning,none,none->none->none->none->none->none->none->none->none->warning,none->none->none->none->none->none->none->none->none->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2024-10-22,none,none,none->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-10-21,none,none,none->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-10-18,none,none,warning->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-10-17,none,none,none->warning->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-10-16,none,none,warning->none->warning->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-10-15,none,none,none->warning->none->warning->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-10-14,none,none,warning->none->warning->none->warning->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-10-11,none,none,none->warning->none->warning->none->warning->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-10-10,none,none,none->none->warning->none->warning->none->warning->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-10-09,none,none,none->none->none->warning->none->warning->none->warning->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-10-08,none,none,none->none->none->none->warning->none->warning->none->warning->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-10-07,warning,none,none->none->none->none->none->warning->none->warning->none->warning,none->none->none->none->none->none->none->none->none->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2024-10-04,none,none,none->none->none->none->none->none->warning->none->warning->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-10-03,warning,none,none->none->none->none->none->none->none->warning->none->warning,none->none->none->none->none->none->none->none->none->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2024-10-02,none,none,none->none->none->none->none->none->none->none->warning->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-10-01,warning,none,none->none->none->none->none->none->none->none->none->warning,none->none->none->none->none->none->none->none->none->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2024-09-30,none,none,none->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-09-27,none,none,none->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-09-26,none,none,none->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-09-25,none,none,none->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-09-24,none,none,none->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-09-23,none,none,warning->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-09-20,none,none,none->warning->none->none->none->none->none->none->none->none,warning->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-09-19,none,none,none->none->warning->none->none->none->none->none->none->none,warning->warning->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-09-18,none,none,warning->none->none->warning->none->none->none->none->none->none,none->warning->warning->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-09-17,none,none,warning->warning->none->none->warning->none->none->none->none->none,none->none->warning->warning->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-09-16,none,none,warning->warning->warning->none->none->warning->none->none->none->none,none->none->none->warning->warning->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-09-13,none,none,none->warning->warning->warning->none->none->warning->none->none->none,none->none->none->none->warning->warning->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-09-12,none,none,none->none->warning->warning->warning->none->none->warning->none->none,none->none->none->none->none->warning->warning->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-09-11,none,none,warning->none->none->warning->warning->warning->none->none->warning->none,none->none->none->none->none->none->warning->warning->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-09-10,warning,none,none->warning->none->none->warning->warning->warning->none->none->warning,none->none->none->none->none->none->none->warning->warning->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2024-09-09,none,warning,none->none->warning->none->none->warning->warning->warning->none->none,none->none->none->none->none->none->none->none->warning->warning,SHORT_TERM,PREWARNING,SHORT_TERM_WARNING_EARLY,lead10_structural_switch_plus_early_guard,high_hurst|lead10_structural_switch_plus_early_guard|shortterm_early_guard,high_hurst|shortterm_early_guard
2024-09-06,none,warning,none->none->none->warning->none->none->warning->warning->warning->none,none->none->none->none->none->none->none->none->none->warning,SHORT_TERM,PREWARNING,SHORT_TERM_WARNING_EARLY,lead10_structural_switch_plus_early_guard,high_hurst|lead10_structural_switch_plus_early_guard|shortterm_early_guard,high_hurst|shortterm_early_guard
2024-09-05,warning,none,none->none->none->none->warning->none->none->warning->warning->warning,none->none->none->none->none->none->none->none->none->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2024-09-04,warning,none,none->none->none->none->none->warning->none->none->warning->warning,none->none->none->none->none->none->none->none->none->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2024-09-03,warning,none,none->none->none->none->none->none->warning->none->none->warning,none->none->none->none->none->none->none->none->none->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2024-08-30,none,none,none->none->none->none->none->none->none->warning->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-08-29,none,none,none->none->none->none->none->none->none->none->warning->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-08-28,warning,none,none->none->none->none->none->none->none->none->none->warning,none->none->none->none->none->none->none->none->none->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2024-08-27,none,none,none->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-08-26,none,none,none->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-08-23,none,none,none->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-08-22,none,none,none->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-08-21,none,none,none->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-08-20,none,none,none->none->none->none->none->none->none->none->none->none,warning->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-08-19,none,none,none->none->none->none->none->none->none->none->none->none,none->warning->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-08-16,none,none,none->none->none->none->none->none->none->none->none->none,warning->none->warning->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-08-15,none,none,none->none->none->none->none->none->none->none->none->none,warning->warning->none->warning->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-08-14,none,none,none->none->none->none->none->none->none->none->none->none,none->warning->warning->none->warning->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-08-13,none,none,none->none->none->none->none->none->none->none->none->none,none->none->warning->warning->none->warning->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2024-08-12,none,none,none->none->none->none->none->none->none->none->none->none,warning->none->none->warning->warning->none->warning->none->none->none,SHORT_TERM,DAMAGE_CONTROL,SHORT_TERM_WARNING,shortterm_dd_momentum,hard_dd_guard_lvl1|high_hurst|shortterm_dd_momentum,high_hurst|hard_dd_guard_lvl1
2024-08-09,none,none,warning->none->none->none->none->none->none->none->none->none,none->warning->none->none->warning->warning->none->warning->none->none,SHORT_TERM,DAMAGE_CONTROL,SHORT_TERM_WARNING,shortterm_dd_momentum,hard_dd_guard_lvl1|high_hurst|shortterm_dd_momentum,high_hurst|hard_dd_guard_lvl1
2024-08-08,none,none,warning->warning->none->none->none->none->none->none->none->none,none->none->warning->none->none->warning->warning->none->warning->none,SHORT_TERM,DAMAGE_CONTROL,SHORT_TERM_WARNING_EARLY,lead10_structural_switch_plus_early_guard,high_hurst|lead10_structural_switch_plus_early_guard|shortterm_early_guard,high_hurst|shortterm_early_guard
